DATA,HORA,USUARIO,PRODUTO,UNITARIO,QUANTIDADE
2022-05-02,07:50,1,2021,15.000,1.000
2022-05-02,13:07,1,1242,1.600,2.000
2022-05-03,13:55,1,333,42.000,15.000
2022-06-01,07:07,1,70,52.000,1.000
2022-08-01,08:27,1,303,45.000,1.000
2022-08-05,09:42,1,333,45.000,6.000
2022-08-05,09:42,1,1242,1.600,1.000
2022-08-08,16:18,1,1236,45.000,1.000
2022-08-08,16:18,1,633,2.000,1.000
2022-08-08,16:18,1,676,1.000,1.000
2022-08-11,14:57,1,616,10.000,1.000
2022-09-19,07:24,1,2,2.000,1.000
2022-10-05,06:45,1,410,300.000,1.000
2022-11-19,13:19,1,20,5.000,1.000
2022-11-29,12:52,1,242,23.000,1.000
2022-11-29,12:54,1,753,38.000,1.000
2022-12-05,07:36,1,1825,16.000,3.000
2022-12-08,06:57,1,333,43.000,6.000
2023-01-31,07:07,1,410,300.000,1.000
2023-02-07,08:12,1,1218,145.000,1.000
2023-02-07,08:51,1,1529,73.000,1.000
2023-02-07,08:51,1,496,45.000,1.000
2023-02-07,14:57,1,981,9.000,5.000
2023-02-07,14:57,1,64,10.000,12.000
2023-02-07,14:57,1,1271,2.000,1.000
2023-02-07,14:57,1,981,9.000,1.000
2023-02-23,07:05,1,2,2.000,1.000
2023-02-25,07:42,1,1127,12.000,1.000
2023-02-25,07:42,1,64,10.000,8.000
2023-02-25,10:35,1,877,2.000,1.000
2023-02-25,11:19,1,191,18.000,3.000
2023-02-25,11:19,1,353,160.000,1.000
2023-02-25,11:30,1,2283,60.000,65.000
2023-02-27,08:37,1,241,35.000,1.000
2023-03-13,09:09,1,70,55.000,4.000
2023-03-22,07:22,1,244,15.000,1.000
2023-04-19,11:48,1,362,30.000,1.000
2023-05-12,12:23,1,242,23.000,1.000
2023-08-23,13:17,1,821,78.000,1.000
2023-12-21,07:54,1,2,2.000,1.000
2023-12-22,16:58,1,1205,8.000,1.000
2023-12-27,11:01,1,897,10.000,1.000
2023-12-30,07:30,1,1575,9.000,1.000
2023-12-30,07:30,1,20,5.000,1.000
2024-01-02,09:18,1,1818,9.000,1.000
2024-01-04,14:05,1,1044,160.000,1.000
2024-01-06,11:27,1,20,5.000,1.000
2024-01-08,17:03,1,3,2.000,1.000
2024-01-10,09:18,1,183,25.000,1.000
2024-01-17,16:14,1,1879,15.000,1.000
2024-01-17,16:35,1,2,2.000,1.000
2024-01-19,11:28,1,1307,0.500,10.000
2024-01-19,11:28,1,231,0.100,1.000
2024-01-25,07:43,1,633,2.000,5.000
2024-01-25,07:59,1,20,5.000,1.000
2024-02-07,14:25,1,535,1.500,2.000
2024-02-08,07:23,1,70,55.000,1.000
2024-02-08,16:23,1,26,12.000,1.000
2024-02-15,06:50,1,5,8.000,1241.000
2024-02-29,14:13,1,20,5.000,1.000
2024-02-29,15:25,1,933,50.000,1.000
2024-03-04,10:35,1,1024,2.500,30.000
2024-03-07,08:28,1,2107,880.000,1.000
2024-03-09,13:54,1,436,70.000,1.000
2024-03-11,16:09,1,1824,6.000,12.000
2024-03-11,16:09,1,1702,12.000,1.000
2024-03-11,16:09,1,641,1.500,1517.000
2024-03-12,10:02,1,1481,25.000,1.000
2024-03-12,10:02,1,2020,18.000,1.000
2024-03-16,13:15,1,21,6.000,1.000
2024-03-20,17:11,1,111,85.000,1.000
2024-03-30,12:47,1,1615,30.000,32.000
2024-04-16,11:45,1,757,140.000,1.000
2024-04-30,16:23,1,333,43.000,40.000
2024-04-30,16:23,1,5,8.000,1.000
2024-05-01,10:29,1,1728,15.000,1.000
