CODIGO,TITULO,TEXTO
_PEDEDATA,,         2
MENUCLI,,         3
TCLIENTE,,         6
PESCLI2,,         8
INCCLI,,        10
_INCTEX2,,        11
_INCTEX1,,        14
_MENUCAI,,        16
RELCLI,,        18
RELCLI1,,        19
RELCLI2,,        21
RELCLI3,,        23
RELCLI4,,        25
RELCLI5,,        27
RELCLI6,,        29
RELCLI7,,        31
RELCLI8,,        33
RELCLI9,,        35
RELCLI10,,        37
RELCLI11,,        39
ETICLI1,,        41
ETICLI2,,        43
ETICLI3,,        45
DESMACLI,,        47
_CONFIG1,,        48
PESCLI1,,        58
MARCLI,,        59
RECCLI,,        60
FILCLI,,        61
STACLI,,        62
_PESETI,,        63
_CONFIG3,,        73
