CONTROLE,PRODUTO,UNITARIO,QUANTIDADE,CUSTO
10036897,20,4.000,1.000,0.000
10036908,1,1.500,1.000,0.000
10036908,3,1.500,1.000,0.000
10036908,4,2.500,1.000,0.000
10036909,20,5.000,20.000,0.000
10036909,333,40.000,1.000,0.000
10036909,326,20.000,1.000,0.000
10036910,20,5.000,20.000,0.000
10036910,333,40.000,2.000,0.000
10036910,326,20.000,2.000,0.000
10036911,20,5.000,20.000,0.000
10036911,333,40.000,1.000,0.000
10036913,20,5.000,1.000,0.000
10036914,20,5.000,1.000,0.000
10036916,8,1.700,1.000,0.000
10036918,20,5.000,1.000,0.000
10036925,1848,40.000,2.000,0.000
10036925,1452,12.000,1.000,0.000
10036929,1728,15.000,1.000,0.000
10036929,942,15.000,1.000,0.000
10036929,1443,5.000,7.000,0.000
10036929,583,7.000,8.000,0.000
10036930,1728,15.000,1.000,0.000
10036930,942,15.000,1.000,0.000
10036930,1443,5.000,7.000,0.000
10036930,583,7.000,8.000,0.000
10036931,1728,15.000,1.000,0.000
10036931,942,15.000,1.000,0.000
10036931,1443,5.000,7.000,0.000
10036931,583,7.000,1.000,0.000
10036938,1753,16.000,1.000,0.000
10036938,420,53.000,1.000,0.000
10036945,1753,16.000,1.000,0.000
10036945,784,12.000,13.000,0.000
10036951,714,16.000,1.000,0.000
10036961,1637,8.000,10.000,0.000
10036962,1381,25.000,1.000,0.000
10036965,1162,2.500,1.000,0.000
10036965,1024,2.500,15.000,0.000
10036969,1504,55.000,2.000,0.000
10036969,1625,30.000,1.000,0.000
10036969,1292,10.000,12.000,0.000
10036973,1441,25.000,1.000,0.000
10036979,1165,6.000,1.000,0.000
10036979,1241,12.000,1.000,0.000
10036979,1821,15.000,1.000,0.000
10036979,765,25.000,1.000,0.000
10036981,12,28.000,1.000,0.000
10036981,1277,12.000,1.000,0.000
10036983,1303,4.500,10.000,0.000
10036983,197,3.000,1.000,0.000
10036983,1024,2.500,1.000,0.000
10036983,535,1.500,2.000,0.000
10036985,1425,8.000,1.000,0.000
10036987,20,6.000,15.000,0.000
10036987,1327,6.000,7.000,0.000
10036987,333,43.000,2.000,0.000
10036987,1666,17.000,3.000,0.000
10036987,1573,5.000,3.000,0.000
10036987,1198,110.000,1.000,0.000
10036987,1434,20.000,1.000,0.000
10036987,854,33.000,1.000,0.000
10036987,94,25.000,1.000,0.000
10036992,1479,25.000,1.000,0.000
10036998,18,5.000,1.000,0.000
10036999,1626,18.000,1.000,0.000
10036999,1570,20.000,1.000,0.000
10037000,688,6.000,6.000,0.000
10037002,1024,2.500,20.000,0.000
10037002,2126,13.000,1.000,0.000
10037004,1111,65.000,1.000,0.000
10037006,1878,30.000,1.000,0.000
10037008,333,45.000,5.000,0.000
10037008,20,6.000,72.000,0.000
10037008,1237,125.000,1.000,0.000
10037008,1082,590.000,1.000,0.000
10037010,676,2.000,8.000,0.000
10037014,1210,75.000,1.000,0.000
10037014,981,12.000,2.000,0.000
10037014,1625,30.000,5.000,0.000
