DATA,HORA,USUARIO,MODULO,OPERACAO,CONTROLE,PRODUTO,CLIENTE
2019-08-05,0707,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-05,0707,1,PEDEDATA,Data valida: 05/08/19 e hora 07:07:38 por SISTEMA,,,
2019-08-05,0858,1,PESPRO,Alt 853-FERRO 1/4 Prc venda,,,
2019-08-05,0858,1,PESPRO,Alt 851-FERRO 3/8 Prc venda,,,
2019-08-05,0858,1,PESPRO,Alt 854-FERRO 5/16 Prc venda,,,
2019-08-06,0709,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-06,0709,1,PEDEDATA,Data valida: 06/08/19 e hora 07:09:10 por SISTEMA,,,
2019-08-07,0703,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-07,0703,1,PEDEDATA,Data valida: 07/08/19 e hora 07:03:53 por SISTEMA,,,
2019-08-07,1353,1,PESPRO,Alt 705-S.COPO 100 DIAM Prc venda,,,
2019-08-07,1353,1,PESPRO,Alt 2221-. nome res. Prc venda,,,
2019-08-07,1354,1,PESPRO,Alt 2220-. nome res. Prc venda,,,
2019-08-07,1354,1,PESPRO,Alt 2141-LAMP.LED AM.9W Prc venda,,,
2019-08-07,1355,1,PESPRO,Alt 2152-LAMP.LED TUB.9W Prc venda,,,
2019-08-07,1355,1,PESPRO,Alt 798-ESTANHO 50X50 Prc venda,,,
2019-08-07,1355,1,PESPRO,Alt 1091-LENTE P/MASCARA Prc venda,,,
2019-08-07,1355,1,PESPRO,Alt 1221-MARRETA 1K Prc venda,,,
2019-08-07,1356,1,PESPRO,Alt 1223-MARRETA 2K Prc venda,,,
2019-08-08,0659,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-08,0659,1,PEDEDATA,Data valida: 08/08/19 e hora 06:59:05 por SISTEMA,,,
2019-08-08,1048,1,PESPRO,Alt 753-EBOLIDOR Prc venda,,,
2019-08-08,1048,1,PESPRO,Alt 83-AQUECEDOR LOREN Prc venda,,,
2019-08-08,1049,1,PESPRO,Alt 82-AQUECEDOR FAME Prc venda,,,
2019-08-08,1049,1,PESPRO,Alt 83-AQUECEDOR LOREN Prc venda,,,
2019-08-09,0704,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-09,0704,1,PEDEDATA,Data valida: 09/08/19 e hora 07:04:07 por SISTEMA,,,
2019-08-09,1241,1,PESPRO,Alt 346-RUFO PAREDE Prc venda,,,
2019-08-09,1324,1,PESPRO,Alt 1179-LUVA MISTA 1 Prc venda,,,
2019-08-09,1325,1,PESPRO,Alt 1181-LUVA MISTA 11/2 Prc venda,,,
2019-08-09,1325,1,PESPRO,Alt 1180-LUVA MISTA 11/4 Prc venda,,,
2019-08-10,0710,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-10,0710,1,PEDEDATA,Data valida: 10/08/19 e hora 07:10:22 por SISTEMA,,,
2019-08-12,0653,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-12,0653,1,PEDEDATA,Data valida: 12/08/19 e hora 06:53:18 por SISTEMA,,,
2019-08-13,0658,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-13,0658,1,PEDEDATA,Data valida: 13/08/19 e hora 06:58:09 por SISTEMA,,,
2019-08-13,1224,1,PESPRO,Alt 109-ASSENTO ALMOFAD Prc venda,,,
2019-08-13,1339,1,PESPRO,Alt 94-ARAME R.TORCIDO Prc venda,,,
2019-08-13,1339,1,PESPRO,Alt 93-ARAME RECOZIDO Prc venda,,,
2019-08-13,1339,1,PESPRO,Alt 2047-RES.DUO SH3060C Prc venda,,,
2019-08-13,1339,1,PESPRO,Alt 1284-NIVEL LASER Prc venda,,,
2019-08-13,1340,1,PESPRO,Alt 1513-REG.GAV.11/2 BR Prc venda,,,
2019-08-13,1340,1,PESPRO,Alt 2150-ACABAMENTO HIDR Prc venda,,,
2019-08-13,1340,1,PESPRO,Alt 1853-VALV.HIDRA 2550 Prc venda,,,
2019-08-13,1340,1,PESPRO,Alt 1413-PONTEIRO 3/4 Prc venda,,,
2019-08-14,0705,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-14,0705,1,PEDEDATA,Data valida: 14/08/19 e hora 07:05:07 por SISTEMA,,,
2019-08-15,0700,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-15,0700,1,PEDEDATA,Data valida: 15/08/19 e hora 07:00:13 por SISTEMA,,,
2019-08-16,0713,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-16,0713,1,PEDEDATA,Data valida: 16/08/19 e hora 07:13:27 por SISTEMA,,,
2019-08-17,0747,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-17,0747,1,PEDEDATA,Data valida: 17/08/19 e hora 07:47:23 por SISTEMA,,,
2019-08-19,0713,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-19,0713,1,PEDEDATA,Data valida: 19/08/19 e hora 07:13:42 por SISTEMA,,,
2019-08-20,0702,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-20,0702,1,PEDEDATA,Data valida: 20/08/19 e hora 07:02:48 por SISTEMA,,,
2019-08-20,0940,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-20,1008,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-20,1329,1,PESPRO,Alt 217-BROCA SDS14X160 Prc venda,,,
2019-08-20,1329,1,PESPRO,Alt 1208-MANG.MULT-USO Prc venda,,,
2019-08-20,1330,1,PESPRO,Alt 1145-LUVA COR.11/4 M Prc venda,,,
2019-08-20,1330,1,PESPRO,Alt 1126-LUMIN.EMERGENCI Prc venda,,,
2019-08-20,1330,1,PESPRO,Alt 2027-CAIXA 4X2 DRYWA Prc venda,,,
2019-08-20,1330,1,PESPRO,Alt 2028-CAIXA 4X4 DRYWA Prc venda,,,
2019-08-20,1331,1,PESPRO,Alt 2180-EXTENSAO 1.3M Prc venda,,,
2019-08-20,1331,1,PESPRO,Alt 813-EXTENSAO 3M Prc venda,,,
2019-08-20,1331,1,PESPRO,Alt 815-EXTENSAO 10M Prc venda,,,
2019-08-20,1332,1,PESPRO,Alt 1673-TALHAD.PLUS MAK Prc venda,,,
2019-08-21,0700,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-21,0700,1,PEDEDATA,Data valida: 21/08/19 e hora 07:00:23 por SISTEMA,,,
2019-08-22,0710,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-22,0710,1,PEDEDATA,Data valida: 22/08/19 e hora 07:10:55 por SISTEMA,,,
2019-08-23,0705,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-23,0705,1,PEDEDATA,Data valida: 23/08/19 e hora 07:05:31 por SISTEMA,,,
2019-08-23,0954,1,PESPRO,Alt 270-CABO DE ENXADA Prc venda,,,
2019-08-23,0954,1,PESPRO,Alt 188-BROCA 1/4 CHATA Prc venda,,,
2019-08-23,0955,1,PESPRO,Alt 225-BROCA 1 CHATA Prc venda,,,
2019-08-23,0955,1,PESPRO,Alt 226-BROCA 1.1/4 CHA Prc venda,,,
2019-08-23,0955,1,PESPRO,Alt 192-BROCA 1/2 CHATA Prc venda,,,
2019-08-23,0955,1,PESPRO,Alt 195-BROCA 11/16 CHA Prc venda,,,
2019-08-23,0955,1,PESPRO,Alt 196-BROCA 3/4 CHATA Prc venda,,,
2019-08-23,0955,1,PESPRO,Alt 190-BROCA 3/8 CHATA Prc venda,,,
2019-08-23,0956,1,PESPRO,Alt 189-BROCA 5/16 CHAT Prc venda,,,
2019-08-23,0956,1,PESPRO,Alt 194-BROCA CHATA 5/8 Prc venda,,,
2019-08-23,0956,1,PESPRO,Alt 191-BROCA 7/16 CHAT Prc venda,,,
2019-08-23,0956,1,PESPRO,Alt 224-BROCA 7/8 CHATA Prc venda,,,
2019-08-23,0956,1,PESPRO,Alt 193-BROCA 9/16 CHAT Prc venda,,,
2019-08-23,0956,1,PESPRO,Alt 803-ESTICADOR 3/16 Prc venda,,,
2019-08-23,0957,1,PESPRO,Alt 973-GRAXA 500G Prc venda,,,
2019-08-23,0957,1,PESPRO,Alt 132-BARRAMENTO BIP. Prc venda,,,
2019-08-23,0957,1,PESPRO,Alt 86-BARRAMENTO NEUT Prc venda,,,
2019-08-23,0957,1,PESPRO,Alt 920-FITA MULT.90 Prc venda,,,
2019-08-23,0957,1,PESPRO,Alt 921-FITA MULT.90P/M Prc venda,,,
2019-08-23,0958,1,PESPRO,Alt 579-CONJUNTO JARDIM Prc venda,,,
2019-08-23,0958,1,PESPRO,Alt 1746-TESOURA PODA Prc venda,,,
2019-08-23,0958,1,PESPRO,Alt 761-ENXADA LARGA Prc venda,,,
2019-08-23,0959,1,PESPRO,Alt 596-CORTADOR VIDRO Prc venda,,,
2019-08-24,0703,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-24,0703,1,PEDEDATA,Data valida: 24/08/19 e hora 07:03:49 por SISTEMA,,,
2019-08-26,0711,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-26,0711,1,PEDEDATA,Data valida: 26/08/19 e hora 07:11:03 por SISTEMA,,,
2019-08-27,0704,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-27,0704,1,PEDEDATA,Data valida: 27/08/19 e hora 07:04:23 por SISTEMA,,,
2019-08-27,0807,1,PESPRO,Alt 1333-PICARETA S/CABO nome res. Prc venda,,,
2019-08-27,0807,1,PESPRO,Alt 55-ALICATE PRESSAO Prc venda,,,
2019-08-27,0808,1,PESPRO,Alt 386-CAP ESG. 100 Prc venda,,,
2019-08-28,0659,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-28,0659,1,PEDEDATA,Data valida: 28/08/19 e hora 06:59:40 por SISTEMA,,,
2019-08-29,0700,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-29,0700,1,PEDEDATA,Data valida: 29/08/19 e hora 07:00:24 por SISTEMA,,,
2019-08-30,0706,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-30,0706,1,PEDEDATA,Data valida: 30/08/19 e hora 07:06:49 por SISTEMA,,,
2019-08-31,0711,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-08-31,0711,1,PEDEDATA,Data valida: 31/08/19 e hora 07:11:17 por SISTEMA,,,
2019-09-02,0712,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-09-02,0712,1,PEDEDATA,Data valida: 02/09/19 e hora 07:12:15 por SISTEMA,,,
2019-09-03,0706,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-09-03,0706,1,PEDEDATA,Data valida: 03/09/19 e hora 07:06:32 por SISTEMA,,,
2019-09-03,0810,1,PESPRO,Alt 1573-SARRAFO 05,,,
2019-09-03,1255,1,PESPRO,Alt 1338-PILHA BATER.9V Prc venda,,,
2019-09-03,1255,1,PESPRO,Alt 1588-JOGO S.COPO 11 Prc venda,,,
2019-09-03,1255,1,PESPRO,Alt 1533-REP.HIDRA 2MOD Prc venda,,,
2019-09-03,1256,1,PESPRO,Alt 1534-REP.HIDRA 4MOD Prc venda,,,
2019-09-03,1256,1,PESPRO,Alt 2139-LAMP.LED BC.15W nome res. Prc venda,,,
2019-09-03,1256,1,PESPRO,Alt 1155-LUVA ESG.D.4 Prc venda,,,
2019-09-03,1257,1,PESPRO,Alt 1143-LUVA COR.3/4 M Prc venda,,,
2019-09-03,1257,1,PESPRO,Alt 1324-PE GELAD./FOGAO Prc venda,,,
2019-09-03,1257,1,PESPRO,Alt 1783-TORN.BOIA DECA Prc venda,,,
2019-09-03,1257,1,PESPRO,Alt 521-COLHER PED07-08 Prc venda,,,
2019-09-03,1258,1,PESPRO,Alt 522-COLHER PEDR.09 Prc venda,,,
2019-09-03,1258,1,PESPRO,Alt 523-COLHER PEDR.10 Prc venda,,,
2019-09-03,1258,1,PESPRO,Alt 1859-VARAL TETO 1M Prc venda,,,
2019-09-03,1258,1,PESPRO,Alt 1860-VARAL TETO 1.2M Prc venda,,,
2019-09-03,1259,1,PESPRO,Alt 895-COLA S.BONDER 5 Prc venda,,,
2019-09-03,1420,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-09-04,0705,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-09-04,0705,1,PEDEDATA,Data valida: 04/09/19 e hora 07:05:14 por SISTEMA,,,
2019-09-05,0708,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-09-05,0708,1,PEDEDATA,Data valida: 05/09/19 e hora 07:08:29 por SISTEMA,,,
2019-09-05,1055,1,PESPRO,Alt 970-GRAMPO 106/8 Prc venda,,,
2019-09-06,0714,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-09-06,0714,1,PEDEDATA,Data valida: 06/09/19 e hora 07:14:19 por SISTEMA,,,
2019-09-09,0642,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-09-09,0642,1,PEDEDATA,Data valida: 09/09/19 e hora 06:42:08 por SISTEMA,,,
2019-09-10,0710,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-09-10,0710,1,PEDEDATA,Data valida: 10/09/19 e hora 07:10:01 por SISTEMA,,,
2019-09-11,0703,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-09-11,0703,1,PEDEDATA,Data valida: 11/09/19 e hora 07:03:38 por SISTEMA,,,
2019-09-12,0709,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
2019-09-12,0709,1,PEDEDATA,Data valida: 12/09/19 e hora 07:09:45 por SISTEMA,,,
2019-09-13,0708,1,TROUSU,Ativacao do usuario  1-SISTEMA,,,
