DATA,HORA,GRUPO,PRODUTO,CODIGO,QUANTIDADE,SALDO,UNITARIO,VENDEDOR,USUARIO,CONTROLE
2019-08-05,08:58,0,851,2,4.000,,0.000,0,1,
2019-08-05,08:58,0,854,3,3.000,,0.000,0,1,
2019-08-07,13:53,0,705,2,3.000,,0.000,0,1,
2019-08-07,13:55,0,798,2,51.000,,0.000,0,1,
2019-08-09,13:24,0,1179,2,10.000,,0.000,0,1,
2019-08-09,13:25,0,1181,3,10.000,,0.000,0,1,
2019-08-09,13:25,0,1180,2,2.000,,0.000,0,1,
2019-08-13,13:39,0,94,3,1.000,,0.000,0,1,
2019-08-13,13:39,0,93,2,1.000,,0.000,0,1,
2019-08-13,13:40,0,1513,3,2.000,,0.000,0,1,
2019-08-13,13:40,0,1413,2,1.000,,0.000,0,1,
2019-08-20,13:30,0,1145,3,6.000,,0.000,0,1,
2019-08-20,13:30,0,1126,2,1.000,,0.000,0,1,
2019-08-20,13:31,0,813,3,9.000,,0.000,0,1,
2019-08-20,13:31,0,815,2,11.000,,0.000,0,1,
2019-08-20,13:32,0,1673,2,2.000,,0.000,0,1,
2019-08-23,09:55,0,225,2,2.000,,0.000,0,1,
2019-08-23,09:56,0,803,2,12.000,,0.000,0,1,
2019-08-23,09:57,0,132,2,6.000,,0.000,0,1,
2019-08-23,09:57,0,86,3,6.000,,0.000,0,1,
2019-08-23,09:58,0,579,3,20.000,,0.000,0,1,
2019-08-23,09:59,0,596,3,7.000,,0.000,0,1,
2019-08-27,08:07,0,55,2,2.000,,0.000,0,1,
2019-09-03,08:10,0,1573,2,19.000,,0.000,0,1,
2019-09-03,12:55,0,1588,3,1.000,,0.000,0,1,
2019-09-03,12:55,0,1533,2,25.000,,0.000,0,1,
2019-09-03,12:56,0,1534,3,25.000,,0.000,0,1,
2019-09-03,12:56,0,1155,2,18.000,,0.000,0,1,
2019-09-03,12:57,0,1143,3,51.500,,0.000,0,1,
2019-09-03,12:57,0,1783,2,3.000,,0.000,0,1,
2019-09-03,12:58,0,522,2,7.000,,0.000,0,1,
2019-09-03,12:58,0,523,3,7.000,,0.000,0,1,
2019-09-03,12:58,0,1859,3,1.000,,0.000,0,1,
2019-09-03,12:58,0,1860,3,2.000,,0.000,0,1,
2019-09-03,12:59,0,895,2,1.000,,0.000,0,1,
2019-09-05,10:55,0,970,3,6.000,,0.000,0,1,
2019-09-13,09:18,0,1168,3,4.000,,0.000,0,1,
2019-09-13,09:18,0,1172,2,4.000,,0.000,0,1,
2019-09-13,09:23,0,1009,3,1.000,,0.000,0,1,
2019-09-19,11:38,0,133,2,1.000,,0.000,0,1,
2019-09-19,14:30,0,1656,3,3.000,,0.000,0,1,
2019-09-19,14:30,0,81,2,49.000,,0.000,0,1,
2019-10-02,07:24,0,644,2,1.000,,0.000,0,1,
2019-10-02,07:24,0,1334,3,5.000,,0.000,0,1,
2019-10-02,07:24,0,913,3,4.000,,0.000,0,1,
2019-10-02,07:25,0,96,3,1.000,,0.000,0,1,
2019-10-02,07:26,0,259,3,1.000,,0.000,0,1,
2019-10-08,07:49,0,326,3,77.000,,0.000,0,1,
2019-10-16,13:23,0,856,3,1.000,,0.000,0,1,
2019-10-16,13:24,0,1733,2,2.000,,0.000,0,1,
2019-10-16,13:24,0,794,3,58.500,,0.000,0,1,
2019-10-16,13:26,0,716,3,10.000,,0.000,0,1,
2019-10-16,13:26,0,719,2,3.000,,0.000,0,1,
2019-10-16,13:26,0,720,3,3.000,,0.000,0,1,
2019-10-28,08:50,0,1111,3,30.000,,0.000,0,1,
2019-10-28,08:50,0,1080,2,3.000,,0.000,0,1,
2019-10-28,08:51,0,914,3,4.000,,0.000,0,1,
2019-10-28,08:53,0,2223,2,4.000,,0.000,0,1,
2019-10-28,08:57,0,2224,2,4.000,,0.000,0,1,
2019-10-28,10:01,0,58,3,2.000,,0.000,0,1,
2019-10-31,15:34,0,1851,3,1.000,,0.000,0,1,
2019-10-31,17:22,0,902,3,2.000,,0.000,0,1,
2019-11-07,12:27,0,1701,8,1.000,,12.000,0,1,
2019-11-07,12:27,0,642,8,2.000,,1.800,0,1,
2019-11-07,12:27,0,1174,8,3.000,,1.000,0,1,
2019-11-07,12:27,0,400,8,1.000,,2.000,0,1,
2019-11-07,14:34,0,677,2,128.000,,0.000,0,1,
2019-11-07,14:35,0,1174,2,3.000,,0.000,0,1,
2019-11-07,14:35,0,1729,3,1.000,,0.000,0,1,
2019-11-07,14:35,0,404,3,1.000,,0.000,0,1,
2019-11-07,14:36,0,520,3,1.000,,0.000,0,1,
2019-11-11,08:09,0,2144,2,2.000,,0.000,0,1,
2019-11-19,14:51,0,813,3,9.000,,0.000,0,1,
2019-11-19,14:53,0,1150,3,1.000,,0.000,0,1,
2019-11-19,17:15,0,2124,2,6.000,,0.000,0,1,
2019-11-23,11:32,0,559,2,1.000,,0.000,0,1,
2019-11-23,11:33,0,566,2,2.000,,0.000,0,1,
2019-11-23,11:33,0,653,3,4.000,,0.000,0,1,
