NCM,DESCRICAO
00001000,ENCOMENDAS
00002000,MERCADORIAS PARA FINS DE DIVULGACAO E TESTES EXTERIOR
00007000,DOACOES
00007100,"PEDRAS EM BRUTO,DO CAPITULO 71 DA NBM-SH"
00008001,CONSUMO DE BORDO - COMBUSTIVEIS E LUBRIF.P/EMBARCACOES
00008002,CONSUMO DE BORDO - COMBUSTIVEIS E LUBRIF.P/AERONAVES
00008098,CONSUMO DE BORDO - QQ.OUTRA MERCADORIA PARA EMBARCACOES
00008099,CONSUMO DE BORDO - QQ.OUTRA MERCADORIA PARA AERONAVES
00009000,"OUTRAS EXPORTACOES SEM COBERTURA CAMBIAL,SEM RETORNO"
01011100,CAVALOS REPRODUTORES DE RACA PURA
01011900,"OUTROS CAVALOS,VIVOS"
01011901,"CAVALOS,MATRIZ PRENHE OU COM CRIA AO PE"
01011902,CAVALOS DE CORRIDA
01011999,OUTROS CAVALOS VIVOS
01012000,ASININOS E MUARES VIVOS
01012001,"ASININOS E MUARES,REPRODUTORES DE RACA PURA"
01012099,"OUTROS ASININOS E MUARES,VIVOS"
01021001,BOVINOS REPRODUTORES DE RACA PURA
01021002,BUFALOS REPRODUTORES DE RACA PURA
01021010,"BOVINOS REPRODUTORES DE RACA PURA,PRENHE OU CRIA AO PE"
01021090,OUTROS BOVINOS REPRODUTORES DE RACA PURA
01029001,"BOVINOS,MATRIZ PRENHE OU COM CRIA AO PE"
01029002,OUTROS BUFALOS VIVOS
01029011,"OUTROS BOVINOS PARA REPRODUCAO,PRENHE OU COM CRIA AO PE"
01029019,OUTROS BOVINOS PARA REPRODUCAO
01029090,OUTROS BOVINOS VIVOS
01031000,SUINOS REPRODUTORES DE RACA PURA
01039100,"OUTROS SUINOS VIVOS,DE PESO<50KG"
01039200,"OUTROS SUINOS VIVOS,DE PESO>=50KG"
01041001,OVINOS REPRODUTORES DE RACA PURA
01041002,"OVINOS,MATRIZ PRENHE OU COM CRIA AO PE"
01041011,"OVINOS REPRODUTORES DE RACA PURA,PRENHE/COM CRIA AO PE"
01041019,OUTROS OVINOS REPRODUTORES DE RACA PURA
01041090,OUTROS OVINOS VIVOS
01041099,OUTROS OVINOS VIVOS
01042001,CAPRINOS REPRODUTORES DE RACA PURA
01042010,CAPRINOS REPRODUTORES DE RACA PURA
01042090,OUTROS CAPRINOS VIVOS
01042099,OUTROS CAPRINOS VIVOS
01051100,"GALOS E GALINHAS,VIVOS,DE PESO<=185G"
01051110,"GALOS E GALINHAS,P<=185G,DE LINHA PURA/HIBRIDA,P/REPROD"
01051190,"OUTROS GALOS E GALINHAS,VIVOS,PESO NAO SUPERIOR A 185G"
01051200,"PERUAS E PERUS,VIVOS,DE PESO NAO SUPERIOR A 185G"
01051900,"PATOS,GANSOS E GALINHAS D ANGOLA,VIVOS,DE PESO<=185G"
01051901,"PERUS E PERUAS,VIVOS,DE PESO<=185G"
01051902,"PATOS E GANSOS,VIVOS,DE PESO<=185G"
01051999,"GALINHAS D ANGOLA (PINTADAS),VIVAS,DE PESO<=185G"
01059100,"GALOS E GALINHAS,VIVOS,DE PESO>185G"
01059200,"OUTROS GALOS E GALINHAS,VIVOS,DE PESO<=2000G"
01059300,"GALOS E GALINHAS,VIVOS,DE PESO SUPERIOR A 2000G"
01059900,"PATOS,GANSOS,PERUS,PERUAS E PINTADAS,VIVOS,DE PESO>185G"
01060001,COELHO REPRODUTOR DE RACA PURA
01060002,"ABELHA RAINHA,VIVA"
01060003,"ANIMAIS VIVOS,PARA LABORATORIO OU PESQUISA CIENTIFICA"
01060004,CHINCHILA REPRODUTOR DE RACA PURA
01060010,AVESTRUZES STRUTHIO CAMELUS PARA REPRODUCAO
01060090,OUTROS ANIMAIS VIVOS
