OPERACAO,CONTROLE,DOCUMENTO,CLIENTE,DATA,HORA,VENDEDOR,USUARIO,TOTAL,VALDESC,PERDESC,FRETE,VALPAGO,TOTPAG,FORMAPGTO,LIQUIDADO,BOLETA,REQUISITA,ENTREGA,ENTREGADOR,ENTREGAR,CFOP,CPF
3,10036895,0,0,2019-11-07,12:27,0,1,20.60,,,0.00,20.60,,0,,,,,,,,
1,10036897,0,0,2020-11-21,11:21,1,1,4.00,,,0.00,4.00,,3,,,,,,,,
1,10036908,0,1,2022-04-29,10:07,1,1,5.50,0.00,0.00,0.00,5.50,5.50,1,,0,,,0,false,,
1,10036909,0,0,2022-04-29,10:27,1,1,160.00,0.00,0.00,0.00,160.00,160.00,3,,0,,,0,false,,
1,10036910,0,2,2022-04-29,10:34,1,1,220.00,0.00,0.00,0.00,220.00,220.00,3,,0,,,0,false,,05480514000105
1,10036911,0,2,2022-04-29,10:35,1,1,140.00,0.00,0.00,0.00,140.00,140.00,3,,0,,,0,true,,05480514000105
1,10036913,0,0,2022-06-18,08:52,1,1,5.00,0.00,0.00,0.00,5.00,5.00,3,,0,,,0,false,,
1,10036914,0,0,2022-06-18,08:59,1,1,5.00,0.00,0.00,0.00,5.00,5.00,3,,0,,,0,false,,
3,10036916,0,0,2023-03-17,14:50,0,1,1.70,0.00,,,1.70,1.70,0,,,,,,false,,
1,10036918,0,0,2023-06-12,07:59,1,1,5.00,0.00,0.00,0.00,5.00,5.00,3,,0,,,0,false,,
1,10036925,0,0,2024-03-20,17:17,1,1,92.00,0.00,0.00,0.00,92.00,92.00,3,,0,,,0,false,,
1,10036929,0,0,2024-05-01,10:31,1,1,121.00,0.00,0.00,0.00,121.00,121.00,3,,0,,,0,false,,
1,10036930,0,0,2024-05-01,10:32,1,1,121.00,0.00,0.00,0.00,121.00,121.00,3,,0,,,0,false,,
1,10036931,0,0,2024-05-01,10:34,1,1,72.00,0.00,0.00,0.00,72.00,72.00,3,,0,,,0,false,,
1,10036938,0,0,2024-06-18,14:04,1,1,69.00,0.00,0.00,0.00,69.00,69.00,3,,0,,,0,false,,
1,10036945,0,0,2024-08-20,17:09,1,1,172.00,0.00,0.00,0.00,172.00,172.00,3,,0,,,0,false,,
1,10036951,0,0,2024-09-17,17:24,1,1,16.00,0.00,0.00,0.00,16.00,16.00,3,,0,,,0,false,,
1,10036961,0,0,2024-12-13,09:05,1,1,80.00,0.00,0.00,0.00,80.00,80.00,3,,0,,,0,false,,
1,10036962,0,0,2024-12-13,11:22,1,1,25.00,0.00,0.00,0.00,25.00,25.00,3,,0,,,0,false,,
1,10036965,0,0,2024-12-27,10:57,1,1,40.00,0.00,0.00,0.00,40.00,40.00,3,,0,,,0,false,,
1,10036969,0,0,2025-03-14,11:10,1,1,260.00,0.00,0.00,0.00,260.00,260.00,3,,0,,,0,false,,
1,10036973,0,0,2025-04-21,09:45,1,1,25.00,0.00,0.00,0.00,25.00,25.00,3,,0,,,0,false,,
1,10036979,0,0,2025-05-29,10:53,1,1,58.00,0.00,0.00,0.00,58.00,58.00,3,,0,,,0,false,,
1,10036981,0,0,2025-06-12,09:33,1,1,40.00,0.00,0.00,0.00,40.00,40.00,3,,0,,,0,false,,
1,10036983,0,0,2025-06-19,08:39,1,1,53.50,0.00,0.00,0.00,53.50,53.50,3,,0,,,0,false,,
1,10036985,0,0,2025-06-23,15:08,1,1,8.00,0.00,0.00,0.00,8.00,8.00,3,,0,,,0,false,,
1,10036987,0,0,2025-07-28,13:03,1,1,472.00,0.00,0.00,0.00,472.00,472.00,3,,0,,,0,false,,
1,10036992,0,0,2025-08-29,04:09,1,1,25.00,0.00,0.00,0.00,25.00,25.00,3,,0,,,0,false,,
1,10036998,0,0,2026-01-03,17:08,1,1,5.00,0.00,0.00,0.00,5.00,5.00,8,,0,IET,,0,false,,
1,10036999,0,0,2026-01-03,17:10,1,1,38.00,0.00,0.00,0.00,38.00,38.00,3,,0,,,0,false,,
1,10037000,0,0,2026-01-03,17:20,1,1,36.00,0.00,0.00,0.00,36.00,36.00,3,,0,,,0,false,,
1,10037002,0,0,2026-02-26,09:35,1,1,63.00,0.00,0.00,0.00,63.00,63.00,3,,0,,,0,false,,
1,10037004,0,0,2026-03-05,11:37,1,1,65.00,0.00,0.00,0.00,65.00,65.00,3,,0,,,0,false,,
1,10037006,0,0,2026-03-27,16:01,1,1,30.00,0.00,0.00,0.00,30.00,30.00,3,,0,,,0,false,,
1,10037008,0,0,2026-04-02,15:53,1,1,1372.00,0.00,0.00,0.00,1372.00,1372.00,3,,0,,,0,false,,
1,10037010,0,0,2026-05-08,11:20,1,1,16.00,0.00,0.00,0.00,16.00,16.00,3,,0,,,0,false,,
1,10037014,0,0,2026-06-06,12:31,1,1,249.00,0.00,0.00,0.00,369.00,249.00,3,,0,,,0,false,,
