CONTROLE,PEDIDO,CLIENTE,NOME,DATA,VENDEDOR,TOTAL,VALDESC,ADIANTA,FORMAPGTO,TABPRECO,CHAVE,PERDESC,RESTPAG,ENTREGAR
10036920,1,0,,2023-12-28,1,12.00,0.00,0.00,0,1,,0.00,12.00,false
10036922,2,0,,2024-01-17,1,42.00,0.00,0.00,0,1,,0.00,42.00,true
10036923,3,0,,2024-01-17,1,16.00,0.00,0.00,0,1,,0.00,16.00,false
10036927,4,0,,2024-04-22,1,51.00,0.00,0.00,0,1,,0.00,51.00,false
10036933,5,0,,2024-05-28,1,33.00,0.00,0.00,0,1,,0.00,33.00,true
10036934,6,0,,2024-05-28,1,118.00,0.00,0.00,0,1,,0.00,118.00,true
10036936,7,0,,2024-06-06,1,53.00,0.00,0.00,0,1,,0.00,53.00,true
10036940,8,0,,2024-07-03,1,220.00,0.00,0.00,0,1,,0.00,220.00,true
10036942,9,0,,2024-08-13,1,24.00,0.00,0.00,0,1,,0.00,24.00,false
10036943,10,0,,2024-08-13,1,125.00,0.00,0.00,0,1,,0.00,125.00,false
10036947,11,0,,2024-08-26,1,10.00,0.00,0.00,0,1,,0.00,10.00,false
10036948,12,0,,2024-08-26,1,6.00,0.00,0.00,0,1,,0.00,6.00,true
10036949,13,0,,2024-08-26,1,16.00,0.00,0.00,0,1,,0.00,16.00,true
10036953,14,0,,2024-10-01,1,30.00,0.00,0.00,0,1,,0.00,30.00,true
10036955,15,0,,2024-10-05,1,48.00,0.00,0.00,0,1,,0.00,48.00,true
10036957,16,0,,2024-11-12,1,90.00,0.00,0.00,0,1,,0.00,90.00,true
10036959,17,0,,2024-11-13,1,43.00,0.00,0.00,0,1,,0.00,43.00,false
10036964,18,0,,2024-12-27,1,13.50,0.00,0.00,0,1,,0.00,13.50,false
10036967,19,0,,2025-01-20,1,86.00,0.00,0.00,0,1,,0.00,86.00,false
10036971,20,0,,2025-04-08,1,45.00,0.00,0.00,0,1,,0.00,45.00,false
10036975,21,0,,2025-05-05,1,50.00,0.00,0.00,0,1,,0.00,50.00,true
10036977,22,0,,2025-05-15,1,53.00,0.00,0.00,0,1,,0.00,53.00,false
10036988,23,0,,2025-07-28,1,33.00,0.00,0.00,0,1,,0.00,33.00,false
10036990,24,0,,2025-07-30,1,200.00,0.00,0.00,0,1,,0.00,200.00,false
10036994,25,0,,2025-10-28,1,25.00,0.00,0.00,0,1,,0.00,25.00,false
10036996,26,0,,2025-11-26,1,128.00,0.00,0.00,0,1,,0.00,128.00,false
10037012,27,0,,2026-05-26,1,72.00,0.00,0.00,0,1,,0.00,72.00,false
