NUMERO,IMPRESSORA,PICOTE,COLUNAS,LINAPOS,PORTA,MAXLIN,MARGEM,COMPON,COMPOFF,EXPON,EXPOFF,RESET,GAVETA,LARGURA,CORTE,ARQTXT
1,EPSON LX-300,false,54,15,LPT1,58,0,15,18,14,20,"27,64,27,67,66",,16,,
2,EPSON RECIBO G7,true,54,15,LPT1,58,3,15,18,14,20,"27,64,27,67,33",,16,,
3,BEMATECH MP2500TH,false,54,5,LPT1,58,0,15,18,14,20,"27,64,27,67,33","27,118,100",16,"27,109,0",
4,BEMATECH MP4200TH,false,54,8,LPT1,58,0,"27,33,1",,"27,33,32","27,33,0","27,64,27,67,33","27,118,100",16,"27,109,0",
5,EPSON 40 COL,false,54,10,LPT1,58,0,"27,33,1",,"27,33,32","27,33,0","27,64,27,67,33","27,118,100",16,"27,109,0",
6,HP LASER/DESKJET 10,true,55,0,LPT1,58,0,,,,,"27,69,27,38,108,48,69,27,40,115,54,116,49,56,104,51,66",,20,,
7,MECAF IM433 TERMICA,false,55,0,LPT1,58,3,,,"18,14,27,86","27,100,20,15","27,64,15","27,38,48,12,48",20,17,
8,MECAF IM402 TERMICA,false,40,0,LPT1,58,0,,,"27,65","27,66",,,20,,
9,BEMATECH MP400TH,false,40,0,LPT1,58,0,"27,15",18,"27,14,27,86",20,"27,64","27,118,100",20,"27,119",
10,DARUMA DR600/DR700,false,55,7,LPT1,58,0,"27,64,15","27,64",14,"27,64","27,64","27,112,0",24,"27,109,0",
11,EPSON TM88,false,40,10,LPT1,50,0,15,18,"27,33,32","27,33,0","27,64","27,118,150",20,"29,86,48",
12,ELGIN I9,false,55,4,LPT2,58,0,15,18,14,20,"27,64,27,67,66",,30,"27,109",
