DATA,HORA,USUARIO,MODULO,OPERACAO
2008-08-22,0726,1,TROUSU,Ativacao do usuario  1-SISTEMA
2008-08-22,0726,1,PEDEDATA,Data valida: 22/08/08 e hora 07:26:42 por SISTEMA
2008-08-22,0802,1,VENPRO,"Venda $ 17,00 Dsc:0,00 Vnd:1"
2008-08-22,0850,1,VENPRO,"Venda $ 1,50 Dsc:0,00 Vnd:1"
2008-08-22,0943,1,VENPRO,"Venda $ 10,00 Dsc:0,00 Vnd:1"
2008-08-23,0810,1,TROUSU,Ativacao do usuario  1-SISTEMA
2008-08-23,0810,1,PEDEDATA,Data valida: 23/08/08 e hora 08:10:05 por SISTEMA
2008-08-23,0858,1,PESPRO,"Alt 1651-PINCEL 500  2"" Prc venda"
2008-08-23,0859,1,PESPRO,Alt 1652-PINCEL 500 21/2 Prc venda
2008-08-23,0904,1,PESPRO,Alt 1130-ZARCAO GALAO Prc venda
2008-08-23,0904,1,PESPRO,Alt 1131-ZARCAO 1/4 Prc venda
2008-08-23,0905,1,PESPRO,Alt 1148-MASSA ACRI GAL Prc venda
2008-08-23,0907,1,PESPRO,Alt 1138-ACRIL.FOSCO 18L Prc venda
2008-08-25,0731,1,TROUSU,Ativacao do usuario  1-SISTEMA
2008-08-25,0731,1,PEDEDATA,Data valida: 25/08/08 e hora 07:31:47 por SISTEMA
2008-08-26,0721,1,TROUSU,Ativacao do usuario  1-SISTEMA
2008-08-26,0721,1,PEDEDATA,Data valida: 26/08/08 e hora 07:21:20 por SISTEMA
2008-08-27,0812,1,TROUSU,Tentativa de acesso ao usuario  1-SISTEMA com senha SEMNHA
2008-08-27,0812,1,TROUSU,Ativacao do usuario  1-SISTEMA
2008-08-27,0812,1,PEDEDATA,Data valida: 27/08/08 e hora 08:12:31 por SISTEMA
2008-08-27,1448,1,PESPRO,Alt 891-PREG.ACO17X21 K nome res. Prc venda
2008-08-27,1449,1,PESPRO,Alt 892-PRE ACO 18X27KG nome res. Prc venda
2008-08-27,1450,1,PESPRO,Alt 893-PRE AC EMB100GR Prc venda
2008-08-27,1451,1,PESPRO,Alt 893-PRE AC EMB100GR nome res.
2008-08-28,0758,1,TROUSU,Ativacao do usuario  1-SISTEMA
2008-08-28,0758,1,PEDEDATA,Data valida: 28/08/08 e hora 07:58:44 por SISTEMA
2008-08-28,0835,1,PESPRO,Alt 562-FERROX 1/2 LT Prc venda
2008-08-28,0839,1,PESPRO,Alt 931-REGU GAZ ALIANC Prc venda
