PEDIDO,CLIENTE,NOME,DATA,VENDEDOR,TOTAL,DESCONTO,ADIANTA,FORMAPGTO,TABPRECO
1,0,,2018-10-04,1,13.00,0.00,0.00,0,1
2,0,,2020-01-24,1,597.00,0.00,0.00,0,1
3,0,,2020-05-05,1,61.00,0.00,0.00,0,1
4,0,,2020-10-26,1,4.00,0.00,0.00,0,1
5,0,,2021-06-07,1,15.00,0.00,0.00,0,1
6,0,,2021-07-07,1,25.00,0.00,0.00,0,1
7,0,,2021-07-07,1,108.00,0.00,0.00,0,1
8,0,,2022-02-01,1,80.00,0.00,0.00,0,1
9,0,,2022-06-03,1,15.00,0.00,0.00,0,1
10,0,,2022-06-03,1,40.00,0.00,0.00,0,1
11,0,,2022-06-03,1,4.00,0.00,0.00,0,1
12,0,,2023-01-14,1,86.00,0.00,0.00,0,1
