CODIGO,BARRAS,GRUPO,SUBGRUPO,PRODUTO,RESUMO,APLICACAO,LOCAL,FABRICANTE,CODFABRICA,UNIDADE,ESTOQUE,MINIMO,CUSTO,CUSTO_DOL,VENDA1,VENDA2,VENDA3,VENDA1_DOL,VENDA2_DOL,VENDA3_DOL,FATOR1,FATOR2,FATOR3,ULTCOMPRA,ULTFORNECE,ULTQUANT,BAIXAR,OBS,IMPOSTO,FRACAO,MARCACAO,ESCONDER,COMPOSTO,UNIDCOMPRA,ESCALA,IMAGEM,ULTALTERA,CST,CATFISCAL,IPI,ALIQUOTA,COMISSAO,VALMINIMO
1,0,0,0,ABRAC.R.S/FIM 3/8X1/2,ABRAC. 3/8X1/2,,,,,UNID,-5.000,0,0.00,0.00,2.00,0.00,0.00,0.69,0.00,0.00,100.000,100.000,0.000,2002-02-27,0,0,true,,ICM,N,false,false,N,UNID,1,,2022-09-20,,,0.00,18.00,100.00,0.00
2,0,0,0,ABRAC.R.S/FIM 1/2X3/4,ABRAC. 1/2X3/4,,,,,UNID,0.000,0,0.00,0.00,2.00,0.00,0.00,0.69,0.00,0.00,100.000,100.000,0.000,2002-02-27,0,0,true,,ICM,N,false,false,N,UNID,1,,2022-03-23,,,0.00,18.00,100.00,0.00
3,0,0,0,ABRAC.R.S/FIM 3/4X1,ABRAC. 3/4X1,,,,,UNID,-2.000,0,0.00,0.00,2.00,0.00,0.00,0.69,0.00,0.00,100.000,100.000,0.000,2002-02-27,0,0,true,,ICM,N,false,false,N,UNID,1,,2022-09-20,,,0.00,18.00,100.00,0.00
4,0,0,0,ABRAC.R.S/FIM 1.1/2X2,ABRAC. 1.1/2X2,,,,,UNID,-5.000,0,0.00,0.00,2.50,0.00,0.00,0.86,0.00,0.00,100.000,100.000,0.000,2002-02-27,0,0,true,,ICM,N,false,false,N,UNID,1,,2017-06-27,,,0.00,18.00,100.00,0.00
5,0,0,0,ABRAC.R.S/FIM 2.1/2X3,ABRAC. 2.1/2X3,,,,,UNID,-1.000,0,0.00,0.00,8.00,0.00,0.00,2.75,0.00,0.00,100.000,100.000,0.000,2002-02-27,0,0,true,,ICM,N,false,false,N,UNID,1,,2022-01-18,,,0.00,18.00,100.00,0.00
6,0,0,0,ABRAC.R.S/FIM 3.1/2X4,ABRAC. 3.1/2X4,,,,,UNID,0.000,0,0.00,0.00,8.00,0.00,0.00,2.75,0.00,0.00,0.000,100.000,0.000,2002-02-27,0,0,true,,ICM,N,false,false,N,UNID,1,,2022-01-18,,,0.00,18.00,100.00,0.00
7,0,0,0,ABRAC.TIPO D 1/2,ABRAC.D 1/2,,,,,UNID,0.000,0,0.00,0.00,1.00,0.00,0.00,0.34,0.00,0.00,100.000,100.000,0.000,2002-02-27,0,0,true,,ICM,N,false,false,N,UNID,1,,2015-11-30,,,0.00,18.00,100.00,0.00
8,0,0,0,ABRAC.TIPO D 3/4,ABRAC. D 3/4,,,,,UNID,0.000,0,0.00,0.00,1.70,0.00,0.00,0.58,0.00,0.00,100.000,100.000,0.000,2002-02-28,0,0,true,,ICM,N,false,false,N,UNID,1,,2018-02-26,,,0.00,18.00,100.00,0.00
9,0,0,0,ABRAC.TIPO D 1,ABRAC. D 1,,,,,UNID,0.000,0,0.00,0.00,1.50,0.00,0.00,0.52,0.00,0.00,100.000,100.000,0.000,2002-02-28,0,0,true,,ICM,N,false,false,N,UNID,1,,2015-11-30,,,0.00,18.00,100.00,0.00
10,0,0,0,ABRAC.TIPO D 1.1/2,ABRAC. D 1.1/2,,,,,UNID,-1.000,0,0.00,0.00,1.50,0.00,0.00,0.52,0.00,0.00,100.000,100.000,0.000,2002-02-28,0,0,true,,ICM,N,false,false,N,UNID,1,,2015-11-30,,,0.00,18.00,100.00,0.00
11,0,0,0,ABRAC.TIPO U 1/2,ABRAC. U 1/2,,,,,,0.000,0,0.00,0.00,3.00,0.00,0.00,1.03,0.00,0.00,100.000,100.000,0.000,2002-02-28,0,0,true,,ICM,N,false,false,N,,1,,2022-03-19,,,0.00,18.00,100.00,0.00
12,0,0,0,AGUA RAZ L.,AGUA RAZ L.,,,,,LITRO,-31.000,0,0.00,0.00,25.00,0.00,0.00,8.59,0.00,0.00,100.000,100.000,0.000,2002-02-28,0,0,true,,ICM,N,false,false,N,LITRO,1,,2022-09-26,,,0.00,18.00,100.00,0.00
13,0,0,0,ABRAC.TIPO U 1,ABRAC. U 1,,,,,UNID,-1.000,0,0.00,0.00,4.00,0.00,0.00,1.37,0.00,0.00,100.000,100.000,0.000,2002-02-28,0,0,true,,ICM,N,false,false,N,UNID,1,,2022-03-19,,,0.00,18.00,100.00,0.00
14,0,0,0,ABRAC.TIPO U 1.1/2,ABRAC. U 1.1/2,,,,,UNID,0.000,0,0.00,0.00,4.00,0.00,0.00,1.37,0.00,0.00,100.000,100.000,0.000,2002-02-28,0,0,true,,ICM,N,false,false,N,UNID,1,,2022-03-19,,,0.00,18.00,100.00,0.00
15,0,0,0,ABRAC.TIPO U 2,ABRAC. U 2,,,,,UNID,0.000,0,0.00,0.00,5.00,0.00,0.00,1.72,0.00,0.00,0.000,100.000,0.000,2002-02-28,0,0,true,,ICM,N,false,false,N,UNID,1,,2022-03-19,,,0.00,18.00,100.00,0.00
16,0,0,0,ABRAC.TIPO U 2.1/2,ABRAC. U 2.1/2,,,,,UNID,0.000,0,0.00,0.00,3.00,0.00,0.00,1.03,0.00,0.00,100.000,100.000,0.000,2002-02-28,0,0,true,,ICM,N,false,false,N,UNID,1,,2021-05-05,,,0.00,18.00,100.00,0.00
17,0,0,0,ABRAC.TIPO U 3,ABRAC. U 3,,,,,UNID,0.000,0,0.00,0.00,3.00,0.00,0.00,1.03,0.00,0.00,0.000,100.000,0.000,2002-02-28,0,0,true,,ICM,N,false,false,N,UNID,1,,2022-08-02,,,0.00,18.00,100.00,0.00
18,0,0,0,ABRAC.TIPO U 4,ABRAC. U 4,,,,,UNID,0.000,0,0.00,0.00,6.00,0.00,0.00,2.06,0.00,0.00,100.000,100.000,0.000,2002-02-28,0,0,true,,ICM,N,false,false,N,UNID,1,,2022-03-19,,,0.00,18.00,100.00,0.00
19,0,0,0,ABRAC.LAMP.FLUOR. 15/30,ABRAC.FLU.15/30,,,,,UNID,0.000,0,0.00,0.00,1.00,0.00,0.00,0.34,0.00,0.00,100.000,100.000,0.000,2002-02-28,0,0,true,,ICM,N,false,false,N,UNID,1,,2015-09-21,,,0.00,18.00,100.00,0.00
20,0,0,0,AREIA ENSACADA 20 K,AREIA ENSAC.20K,,,,,UNID,-2518.000,0,0.00,0.00,5.00,0.00,0.00,1.72,0.00,0.00,100.000,100.000,0.000,2002-02-28,0,0,true,,ICM,N,false,false,N,UNID,1,,2023-01-31,,,0.00,18.00,100.00,0.00
21,0,0,0,AREIA ENSACADA FINA 20K,AREIA FINA 20K,,,,,UNID,0.000,0,0.00,0.00,6.00,0.00,0.00,2.06,0.00,0.00,100.000,100.000,0.000,2002-02-28,0,0,true,,ICM,N,false,false,N,UNID,1,,2023-01-31,,,0.00,18.00,100.00,0.00
22,0,0,0,LIMPA PEDRA LITRO,LIMPA PEDRA L.,,,,,LITRO,0.000,0,0.00,0.00,15.00,0.00,0.00,5.15,0.00,0.00,100.000,100.000,0.000,2002-02-28,0,0,true,,ICM,N,false,false,N,LITRO,1,,2023-02-01,,,0.00,18.00,100.00,0.00
23,0,0,0,LIMPA PEDRA GALAO,LIMPA PEDRA G.,,,,,GALAO,0.000,0,0.00,0.00,45.00,0.00,0.00,15.46,0.00,0.00,100.000,100.000,0.000,2002-02-28,0,0,true,,ICM,N,false,false,N,GALAO,1,,2022-10-04,,,0.00,18.00,100.00,0.00
24,0,0,0,ABRAC.NYLON 300X48,ABRAC.300X48,,,,,EMBAL,0.000,0,0.00,0.00,30.00,0.00,0.00,10.31,0.00,0.00,100.000,100.000,0.000,2002-02-28,0,0,true,,ICM,S,false,false,N,EMBAL,1,,2022-03-09,,,0.00,18.00,100.00,0.00
25,0,0,0,ABRAC.NYLON 300X48 UNIDADE,ABRAC.300X48 UN,,,,,UNIDA,0.000,0,0.00,0.00,0.80,0.00,0.00,0.27,0.00,0.00,100.000,100.000,0.000,2002-02-28,0,0,true,,ICM,S,false,false,N,UNIDA,1,,2021-06-15,,,0.00,18.00,100.00,0.00
