CONTROLE,PEDIDO,PRODUTO,UNITARIO,QUANTIDADE
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,2.000
10036917,2,4,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,4.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,4,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,41.00,0.000
,0,0,0.00,0.000
,0,108,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,41.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,41,0.00,0.000
,0,0,0.00,0.000
,108,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,1.000
,0,0,0.00,0.000
,0,0,8.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,41,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,41.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,1,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,41.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,41,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,41.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,41,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,41.00,0.000
,0,0,0.00,0.000
,0,8,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,41.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,1.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,41,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,108.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,41.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,41,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,41.000
,0,0,0.00,0.000
,0,0,108.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,41,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,1.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,41.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,41.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,41.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,1.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,41,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,8.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,41.00,0.000
,0,0,0.00,0.000
,0,108,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,41.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,41,0.00,0.000
,0,0,0.00,0.000
,108,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,1.000
,0,0,0.00,0.000
,0,0,8.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,41,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
,0,0,41.00,0.000
,0,0,0.00,0.000
,0,0,0.00,0.000
10036916,1,1057,13.00,1.000
10036917,2,333,28.00,8.000
10036917,2,20,3.80,40.000
10036917,2,1827,16.00,6.000
10036917,2,1183,6.00,1.000
10036917,2,1731,68.00,1.000
10036917,2,326,17.00,3.000
10036918,3,1356,14.00,1.000
10036918,3,1236,27.00,1.000
10036918,3,633,2.00,5.000
10036918,3,676,1.00,10.000
10036919,4,95,4.00,1.000
10036920,5,1235,15.00,1.000
10036921,6,1155,25.00,1.000
10036922,7,2141,12.00,8.000
10036922,7,1362,12.00,1.000
10036923,8,1111,50.00,1.000
10036923,8,1301,5.00,6.000
10036924,9,197,3.00,5.000
10036925,10,337,40.00,1.000
10036926,11,676,1.00,1.000
10036926,11,641,1.50,2.000
10036927,12,7,1.00,17.000
10036927,12,1824,6.00,7.000
10036927,12,1143,25.00,1.000
10036927,12,1174,2.00,1.000
