CONTROLE,PRODUTO,UNITARIO,QUANTIDADE,CUSTO
10000001,874,13.00,1.000,0.00
10000001,187,2.00,1.000,0.00
10000002,1024,0.45,2.000,0.00
10000002,20,1.40,20.000,0.00
10000002,335,0.50,20.000,0.00
10000002,1242,0.35,6.000,0.00
10000002,1241,1.70,2.000,0.00
10000002,677,1.00,1.000,0.00
10000002,1444,1.30,4.000,0.00
10000002,1428,2.30,1.000,0.00
10000002,1406,1.90,1.000,0.00
10000002,425,5.00,1.000,0.00
10000002,1045,6.00,1.000,0.00
10000002,596,0.42,9.000,0.00
10000002,608,4.00,1.000,0.00
10000002,1708,1.50,1.000,0.00
10000002,1725,3.00,1.000,0.00
10000002,1709,1.50,1.000,0.00
10000003,185,6.00,3.000,0.00
10000003,258,10.00,1.000,0.00
10000003,500,2.00,5.000,0.00
10000007,998,23.00,1.000,0.00
10000007,1352,0.40,2.000,0.00
10000007,1043,8.00,1.000,0.00
10000008,20,1.40,15.000,0.00
10000008,333,17.00,2.000,0.00
10000008,326,3.50,1.000,0.00
10000008,1148,19.00,1.000,0.00
10000008,1241,1.70,5.000,0.00
10000008,676,0.30,14.000,0.00
10000008,633,0.80,2.000,0.00
10000009,333,17.00,2.000,0.00
10000010,333,17.00,2.000,0.00
10000021,1615,83.00,1.000,0.00
10000022,1615,83.00,1.000,0.00
10000023,1382,0.90,2.000,0.00
10000024,1739,7.00,1.000,0.00
10000025,71,7.00,2.000,0.00
10000025,1236,3.50,2.000,0.00
10000025,12,3.00,2.000,0.00
10000026,79,13.00,1.000,0.00
10000027,1786,88.00,1.000,0.00
10000028,64,4.00,1.000,0.00
10000029,64,4.00,1.000,0.00
10000029,1586,8.80,1.000,0.00
10000029,1541,1.60,2.000,0.00
10000030,1571,3.30,3.000,0.00
10000030,1574,2.50,9.000,0.00
10000030,1575,5.40,1.000,0.00
10000030,1303,6.90,3.000,0.00
10000030,465,2.50,1.000,0.00
10000030,71,7.00,4.000,0.00
10000030,1241,1.70,10.000,0.00
10000030,333,17.00,1.000,0.00
10000030,1482,2.80,1.000,0.00
10000030,1380,0.40,1.000,0.00
10000030,1558,2.40,1.000,0.00
10000030,677,1.00,1.000,0.00
10000031,333,17.00,1.000,0.00
10000031,763,4.00,2.000,0.00
10000031,714,2.50,1.000,0.00
10000032,20,1.40,1.000,0.00
10000032,633,0.80,5.000,0.00
10000032,335,0.50,5.000,0.00
10000033,396,3.00,1.000,0.00
10000034,396,3.00,1.000,0.00
10000035,396,3.00,1.000,0.00
10000036,431,45.00,1.000,0.00
,,0.00,,0.00
10000041,586,0.20,30.000,0.00
10000041,971,3.00,1.000,0.00
10000042,900,1.00,4.000,0.00
10000042,71,7.00,1.000,0.00
10000044,738,38.00,1.000,0.00
10000045,1578,2.30,7.000,0.00
10000045,677,1.00,1.000,0.00
10000045,1302,4.00,1.000,0.00
10000046,1785,1.00,4.000,0.00
10000047,20,1.40,10.000,0.00
10000047,876,1.50,10.000,0.00
10000048,20,1.50,20.000,0.00
10000048,333,20.00,1.000,0.00
10000049,1145,14.00,2.000,0.00
10000050,680,2.00,6.000,0.00
10000051,1267,72.00,1.000,0.00
10000051,1085,3.80,1.000,0.00
10000052,1645,5.30,1.000,0.00
10000052,1133,36.00,1.000,0.00
10000053,714,2.50,1.000,0.00
10000053,524,11.00,1.000,0.00
10000054,1027,3.80,2.000,0.00
10000055,659,1.60,2.000,0.00
10000055,854,3.80,1.000,0.00
10000056,289,6.50,1.000,0.00
10000057,121,1.80,1.000,0.00
10000058,333,20.00,1.000,0.00
10000059,333,20.00,1.000,0.00
10000060,1444,1.30,1.000,0.00
10000061,326,3.50,1.000,0.00
10000061,1209,6.40,1.000,0.00
10000062,880,0.25,10.000,0.00
10000063,333,20.00,1.000,0.00
10000063,20,1.50,12.000,0.00
10000064,333,20.00,1.000,0.00
10000064,20,1.50,12.000,0.00
10000065,692,7.00,2.000,0.00
10000065,268,0.40,8.000,0.00
10000065,900,1.00,2.000,0.00
10000065,1510,0.50,2.000,0.00
10000066,75,2.50,1.000,0.00
10000067,1384,2.60,1.000,0.00
10000068,1055,10.00,1.000,0.00
10000068,71,8.00,1.000,0.00
10000069,677,1.00,2.000,0.00
10000069,465,2.50,2.000,0.00
10000069,1540,1.30,2.000,0.00
10000069,906,3.80,1.000,0.00
10000070,71,8.00,2.000,0.00
10000070,20,1.50,5.000,0.00
10000071,20,1.50,7.000,0.00
10000072,1591,11.00,1.000,0.00
10000072,1600,15.00,1.000,0.00
10000073,333,20.00,2.000,0.00
10000074,197,0.80,13.000,0.00
10000074,1578,2.30,1.000,0.00
10000074,1540,1.30,1.000,0.00
10000074,465,2.50,1.000,0.00
10000074,906,3.80,1.000,0.00
10000074,1428,2.50,3.000,0.00
10000074,1445,1.30,1.000,0.00
10000075,1543,4.40,1.000,0.00
10000076,1111,13.00,3.000,0.00
10000077,1112,4.00,1.000,0.00
10000078,291,9.00,1.000,0.00
10000078,1241,2.00,1.000,0.00
10000079,20,1.50,1.000,0.00
10000080,20,1.50,1.000,0.00
10000081,335,0.50,25.000,0.00
10000081,1241,2.00,2.000,0.00
10000081,20,1.50,2.000,0.00
10000082,20,1.50,1.000,0.00
10000083,20,1.50,1.000,0.00
10000084,20,1.50,1.000,0.00
10000085,333,20.00,1.000,0.00
10000086,20,1.50,3.000,0.00
10000086,876,1.70,3.000,0.00
10000086,335,0.50,30.000,0.00
10000087,608,4.00,1.000,0.00
10000088,1146,6.60,1.000,0.00
10000088,714,2.50,1.000,0.00
10000089,1108,1.50,14.000,0.00
10000089,333,20.00,4.000,0.00
10000090,1802,20.00,1.000,0.00
10000090,717,9.60,10.000,0.00
10000090,333,20.00,2.000,0.00
10000090,20,1.50,20.000,0.00
10000090,135,4.50,1.000,0.00
10000091,75,2.50,2.000,0.00
10000092,333,20.00,1.000,0.00
10000093,524,11.00,2.000,0.00
10000093,714,2.50,1.000,0.00
10000094,876,1.70,1.000,0.00
10000095,20,1.50,2.000,0.00
